-30	0	-55194	192597
-20	-10	-64885	131224
-20	0	-23298	144207
-20	10	6460	148312
-10	-10	-52413	88239
-10	0	-15706	96812
-10	10	26958	96500
0	-20	-83083	27241
0	-10	-31716	43581
0	0	5372	49983
0	10	39429	46781
0	20	87542	32640
10	-20	-103745	-18923
10	-10	-49604	-1306
10	0	1887	4448
10	10	44503	978
10	20	90462	-12840
10	30	142700	-37680
20	-10	-39841	-49237
20	0	302	-41740
20	10	40260	-44744
20	20	81297	-56754
20	30	127963	-77938
20	40	181573	-107909
30	-10	-54476	-103590
30	0	-9182	-90803
30	10	28328	-90880
30	20	66720	-100203
30	30	109952	-117794
